title,price,description

Кепка Buff Baseball Cap,810 грн,"

	Бейсбольна кепка у класичному американському стилі із весняно-літньої колекції Buff 2020. Стане кінцевим штрихом до вашого повсякденного стилю та захистить від пилу, вітру та сонця. Забезпечує максимальний комфорт у спекотну погоду, виводячи вологу від тіла.

Призначення: подорожі, використання у місті, трекінг, хайкінг.

Особливості: 

	- стильна та практична

	- захищає від сонця, вітру та пилюки

	- внутрішня вставка поглинає та відводить вологу, забезпечуюючи комфорт

	- ідеально підходить для активного відпочинку та повсякденного використання

Технічні характеристики: 

	Матеріали: бавовна, матеріал вставки: 100% Polyester

	Стать: унісекс

	Особливості догляду: тільки ручне прання


"

Кепка Buff Baseball Cap Solid,810 грн,"

	Бейсбольна кепка у класичному американському стилі Baseball Cap Solid із весняно-літньої колекції. Стане кінцевим штрихом до вашого повсякденного стилю та захистить від пилюки, вітру та сонця. Забезпечує максимальний комфорт у спекотну погоду, виводячи вологу від тіла.

Призначення: подорожі, використання в місті, трекінг, хайкинг. 

Особливості: 

	- стильна та практична

	- захищає від сонця, вітру та пилюки

	- внутрішня вставка поглинає та відводить вологу, забезпечуючи комфорт

	- ідеально підходить для активного відпочинку та повсякденного використання

Технічні характеристики: 

	Вага: 100 г

	Матеріали: бавовна, матеріал вставки: 100% Polyester

	Розміри: 20х28 см

	Стать: унісекс

	Особливості догляду: тільки ручне прання


"

Кепка Buff Bimini Cap,1 133 грн906 грн,"
Кепка Buff Bimini Cap-дитячий варіант захисту голови від сонця під час подорожей.Вона є ідеальним супутником пригод у пустелі, в горах, на узбережжі. Ефективний захист від сонця для голови та шиї. Завдяки цій кепці ви зберігаєте «прохолодну» голову у будь-якій ситуації. М’яка і знімна смуга шиї захищає вуха від сильних сонячних променів. Дана модель виконана із легкого, еластичного матеріалу з використанням технології Breathable.

Призначення: подорожі, узбережжя, гори.

Особливості:

	-UPF50+сертифікований захист від сонця ( від ультрафіолетового випромінювання

	-зразки тканин протестовано відповідно до міжнародних стандартів

	-розроблений, щоб забезпечити комфортне відчуття, уникаючи прегріву

	-вбудована внутрішня смужка для виведення поту та води

	-спеціально зроблена для дітей: дизайн, розміри та технології, орієнтовані на комфорт для наймолодших

Технічні характеристики:

	Матеріал: Верня частина та козирок: 100% поліамід

	Внутрішній пояс: 100% поліестр


"

Кепка Buff Kids Baseball Cap,615 грн,"

	Стильна дитяча кепка Buff Kids Baseball Cap з нової колекції 2021, стане незамінимим головним убором для дитини влітку. Широкий вигнутий козирок чудово захищає від сонця, а натуральна тканина забезпечує максимальний комфорт в спеку. Під час носки відбувається циркуляція повітря за рахунок спеціальних отворів, це сприяє збереженню сухості і комфорту. Зручна посадка досягається завдяки застібці, яка регулюється кнопками. Яскрава та зручна кепка Buff Kids Baseball Cap підійде як для подорожей, так і для щоденного використання у місті.

Призначення: подорожі, місто, туризм.

Особливості: 

	- стильна та практична

	- м’яка натуральна тканина

	- регульована застібка на кнопках

	- тканина дихає та добре відводить вологу

	- широкий козирок для захисту від сонця

Технічні характеристики: 

	Матеріал: 100% бавовна

	Підкладка: 100% поліестер

	Вікова категорія: 4-12 років

	Розмір: 51,5-55,5 см

	Вага: 74 г
"

Кепка Buff Kids Trucker Cap,583 грн,"

	Стильна дитяча кепка Buff Kids Trucker Cap з нової колекції 2021, натхненна стилем 80-тих, стане незамінимим головним убором для дитини влітку. Кепка відмінно захищає голову дитини від сонця і не парить в спеку. Задня частина кепки виконана з сітки для кращої вентиляції. Всередині кепки вшито стрічку для відведення вологи та поту. Яскрава та зручна кепка Buff Kids Trucker Cap підійде як для подорожей, так і для щоденного використання у місті.

Призначення: туризм, місто, подорожі.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- внутрішня стрічка для відведення вологи

	- регульована застібка на кнопках

	- іменна нашивка всередині кепки

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- дозволяє відчувати себе комфортно в спекотну погоду до 30°C

Технічні характеристики: 

	Матеріали: 100% поліестер

	Розмір: 51-56 см
"
